copy_id,driver1_coef,driver2_coef,driver3_coef,driver4_coef,driver5_coef,driver6_coef,driver7_coef,driver8_coef,driver9_coef,driver10_coef,driver11_coef,driver12_coef,driver13_coef,driver14_coef,driver15_coef,driver16_coef,driver17_coef,driver18_coef,driver19_coef,driver20_coef,driver21_coef,driver22_coef,driver23_coef,driver24_coef,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1009_1,18.95252407777344,4.092726599204289,18.95252407777344,7.391607172517768,10.548045463965767,6.655736056444178,11.730605777899466,10.027317500522148,4.443479686368393,8.795379550385844,8.374030007845443,8.990510738773082,15.487415685050484,6.863627615159878,5.949614274396139,13.030428965422828,18.95252407777344,18.95252407777344,18.95252407777344,12.730064708179247,18.95252407777344,11.77524563433362,13.993088651146431,14.583306589348194,25,5,25,1,10,12,17,6,4,7,9,3,16,11,2,13,25,25,25,15,25,14,18,8
1009_2,18.95252407777344,10.027317500522148,15.487415685050484,13.993088651146431,10.548045463965767,6.655736056444178,6.863627615159878,5.949614274396139,18.95252407777344,11.77524563433362,8.795379550385844,18.95252407777344,7.391607172517768,13.030428965422828,8.990510738773082,18.95252407777344,4.443479686368393,12.730064708179247,18.95252407777344,18.95252407777344,4.092726599204289,14.583306589348194,11.730605777899466,8.374030007845443,25,6,16,18,10,12,11,2,25,14,7,25,1,13,3,25,4,15,25,25,5,8,17,9
100_0,11.912453990622186,14.220378281350827,12.272513982860428,10.58627787238128,19.91027309010084,16.582442821463747,7.765323463546142,7.947053211109463,6.919267466526158,12.043397155773084,10.170539344853951,7.291152062868304,19.91027309010084,6.863627615159878,15.362302643031214,9.060547849756858,9.444847910469132,19.91027309010084,19.91027309010084,8.928318462054811,8.09732420788157,4.920113830120085,4.405582358083191,6.540364180667332,12,20,6,11,25,19,10,9,1,17,4,8,25,16,14,15,18,25,25,13,2,5,3,7
1010_0,14.054949701312236,10.748454266369578,5.949614274396139,10.548045463965767,16.85374854955418,11.232359720709557,11.285785297654304,11.730605777899466,10.102772301199115,16.85374854955418,8.795379550385844,8.990510738773082,16.85374854955418,6.919267466526158,8.796104599193974,4.092726599204289,6.655736056444178,16.85374854955418,16.85374854955418,13.030428965422828,7.391607172517768,11.77524563433362,4.443479686368393,10.579726257276144,16,11,3,15,25,17,14,7,19,25,12,18,25,9,10,2,5,25,25,6,1,13,4,8
1010_2,16.85374854955418,11.77524563433362,11.232359720709557,6.655736056444178,10.548045463965767,8.796104599193974,6.919267466526158,10.102772301199115,16.85374854955418,14.054949701312236,11.730605777899466,16.85374854955418,8.795379550385844,8.990510738773082,10.579726257276144,10.748454266369578,13.030428965422828,4.443479686368393,16.85374854955418,16.85374854955418,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,13,17,5,15,10,9,19,25,16,7,25,12,18,8,11,6,4,25,25,2,1,3,14
1011_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,18,13,2,10,25,9,8,19,12,16,15,6,25,14,1,3,17,25,25,11,4,20,5,7
1011_1,16.787339436795857,4.092726599204289,16.787339436795857,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,8.796104599193974,6.919267466526158,10.102772301199115,8.990510738773082,16.787339436795857,10.748454266369578,11.232359720709557,4.443479686368393,16.787339436795857,11.77524563433362,10.548045463965767,7.391607172517768,25,3,25,15,10,1,2,20,11,19,8,7,9,14,12,6,25,16,13,5,25,18,17,4
1012_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,11,13,4,18,25,20,15,16,14,12,8,7,25,9,3,1,6,25,25,17,2,19,5,10
1012_1,16.787339436795857,4.092726599204289,16.787339436795857,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,8.796104599193974,6.919267466526158,10.102772301199115,8.990510738773082,16.787339436795857,10.748454266369578,11.232359720709557,4.443479686368393,16.787339436795857,11.77524563433362,10.548045463965767,7.391607172517768,25,1,25,8,18,3,4,19,17,16,15,10,20,9,14,7,25,12,13,5,25,11,6,2
1012_2,16.787339436795857,8.374030007845443,8.796104599193974,10.548045463965767,14.054949701312236,6.655736056444178,6.919267466526158,10.102772301199115,16.787339436795857,11.77524563433362,11.730605777899466,16.787339436795857,8.795379550385844,8.990510738773082,10.579726257276144,11.232359720709557,13.030428965422828,4.443479686368393,16.787339436795857,10.748454266369578,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,19,20,6,18,3,9,14,25,11,16,25,8,7,10,13,17,5,25,12,1,2,4,15
